    x     log10(abs_err)
1.0000e-02 -4.1491e+00
2.0000e-02 -3.8718e+00
3.0000e-02 -3.7192e+00
4.0000e-02 -3.6175e+00
5.0000e-02 -3.5435e+00
6.0000e-02 -3.4870e+00
7.0000e-02 -3.4425e+00
8.0000e-02 -3.4067e+00
9.0000e-02 -3.3775e+00
1.0000e-01 -3.3534e+00
1.1000e-01 -3.3334e+00
1.2000e-01 -3.3169e+00
1.3000e-01 -3.3031e+00
1.4000e-01 -3.2916e+00
1.5000e-01 -3.2822e+00
1.6000e-01 -3.2745e+00
1.7000e-01 -3.2683e+00
1.8000e-01 -3.2633e+00
1.9000e-01 -3.2596e+00
2.0000e-01 -3.2568e+00
2.1000e-01 -3.2549e+00
2.2000e-01 -3.2538e+00
2.3000e-01 -3.2535e+00
2.4000e-01 -3.2538e+00
2.5000e-01 -3.2547e+00
2.6000e-01 -3.2561e+00
2.7000e-01 -3.2580e+00
2.8000e-01 -3.2604e+00
2.9000e-01 -3.2632e+00
3.0000e-01 -3.2663e+00
3.1000e-01 -3.2699e+00
3.2000e-01 -3.2737e+00
3.3000e-01 -3.2779e+00
3.4000e-01 -3.2824e+00
3.5000e-01 -3.2871e+00
3.6000e-01 -3.2921e+00
3.7000e-01 -3.2974e+00
3.8000e-01 -3.3029e+00
3.9000e-01 -3.3087e+00
4.0000e-01 -3.3147e+00
4.1000e-01 -3.3209e+00
4.2000e-01 -3.3273e+00
4.3000e-01 -3.3340e+00
4.4000e-01 -3.3408e+00
4.5000e-01 -3.3479e+00
4.6000e-01 -3.3551e+00
4.7000e-01 -3.3626e+00
4.8000e-01 -3.3703e+00
4.9000e-01 -3.3782e+00
5.0000e-01 -3.3863e+00
5.1000e-01 -3.3946e+00
5.2000e-01 -3.4031e+00
5.3000e-01 -3.4119e+00
5.4000e-01 -3.4209e+00
5.5000e-01 -3.4301e+00
5.6000e-01 -3.4396e+00
5.7000e-01 -3.4493e+00
5.8000e-01 -3.4592e+00
5.9000e-01 -3.4695e+00
6.0000e-01 -3.4800e+00
6.1000e-01 -3.4908e+00
6.2000e-01 -3.5019e+00
6.3000e-01 -3.5133e+00
6.4000e-01 -3.5250e+00
6.5000e-01 -3.5371e+00
6.6000e-01 -3.5496e+00
6.7000e-01 -3.5624e+00
6.8000e-01 -3.5757e+00
6.9000e-01 -3.5894e+00
7.0000e-01 -3.6035e+00
7.1000e-01 -3.6181e+00
7.2000e-01 -3.6333e+00
7.3000e-01 -3.6490e+00
7.4000e-01 -3.6653e+00
7.5000e-01 -3.6823e+00
7.6000e-01 -3.7000e+00
7.7000e-01 -3.7184e+00
7.8000e-01 -3.7376e+00
7.9000e-01 -3.7578e+00
8.0000e-01 -3.7789e+00
8.1000e-01 -3.8011e+00
8.2000e-01 -3.8246e+00
8.3000e-01 -3.8494e+00
8.4000e-01 -3.8757e+00
8.5000e-01 -3.9036e+00
8.6000e-01 -3.9336e+00
8.7000e-01 -3.9657e+00
8.8000e-01 -4.0004e+00
8.9000e-01 -4.0382e+00
9.0000e-01 -4.0795e+00
9.1000e-01 -4.1252e+00
9.2000e-01 -4.1763e+00
9.3000e-01 -4.2343e+00
9.4000e-01 -4.3011e+00
9.5000e-01 -4.3802e+00
9.6000e-01 -4.4770e+00
9.7000e-01 -4.6017e+00
9.8000e-01 -4.7774e+00
9.9000e-01 -5.0772e+00
