    x     log10(rel_err)
1.0000e-02 -3.0794e+00
2.0000e-02 -3.0794e+00
3.0000e-02 -3.0794e+00
4.0000e-02 -3.0794e+00
5.0000e-02 -3.0794e+00
6.0000e-02 -3.0794e+00
7.0000e-02 -3.0794e+00
8.0000e-02 -3.0794e+00
9.0000e-02 -3.0794e+00
1.0000e-01 -3.0794e+00
1.1000e-01 -3.0794e+00
1.2000e-01 -3.0794e+00
1.3000e-01 -3.0794e+00
1.4000e-01 -3.0794e+00
1.5000e-01 -3.0794e+00
1.6000e-01 -3.0794e+00
1.7000e-01 -3.0794e+00
1.8000e-01 -3.0794e+00
1.9000e-01 -3.0794e+00
2.0000e-01 -3.0794e+00
2.1000e-01 -3.0794e+00
2.2000e-01 -3.0794e+00
2.3000e-01 -3.0794e+00
2.4000e-01 -3.0794e+00
2.5000e-01 -3.0794e+00
2.6000e-01 -3.0794e+00
2.7000e-01 -3.0794e+00
2.8000e-01 -3.0794e+00
2.9000e-01 -3.0794e+00
3.0000e-01 -3.0794e+00
3.1000e-01 -3.0794e+00
3.2000e-01 -3.0794e+00
3.3000e-01 -3.0794e+00
3.4000e-01 -3.0794e+00
3.5000e-01 -3.0794e+00
3.6000e-01 -3.0794e+00
3.7000e-01 -3.0794e+00
3.8000e-01 -3.0794e+00
3.9000e-01 -3.0794e+00
4.0000e-01 -3.0794e+00
4.1000e-01 -3.0794e+00
4.2000e-01 -3.0794e+00
4.3000e-01 -3.0794e+00
4.4000e-01 -3.0794e+00
4.5000e-01 -3.0794e+00
4.6000e-01 -3.0794e+00
4.7000e-01 -3.0794e+00
4.8000e-01 -3.0794e+00
4.9000e-01 -3.0794e+00
5.0000e-01 -3.0794e+00
5.1000e-01 -3.0794e+00
5.2000e-01 -3.0794e+00
5.3000e-01 -3.0794e+00
5.4000e-01 -3.0794e+00
5.5000e-01 -3.0794e+00
5.6000e-01 -3.0794e+00
5.7000e-01 -3.0794e+00
5.8000e-01 -3.0794e+00
5.9000e-01 -3.0794e+00
6.0000e-01 -3.0794e+00
6.1000e-01 -3.0794e+00
6.2000e-01 -3.0794e+00
6.3000e-01 -3.0794e+00
6.4000e-01 -3.0794e+00
6.5000e-01 -3.0794e+00
6.6000e-01 -3.0793e+00
6.7000e-01 -3.0793e+00
6.8000e-01 -3.0793e+00
6.9000e-01 -3.0793e+00
7.0000e-01 -3.0793e+00
7.1000e-01 -3.0793e+00
7.2000e-01 -3.0793e+00
7.3000e-01 -3.0793e+00
7.4000e-01 -3.0793e+00
7.5000e-01 -3.0793e+00
7.6000e-01 -3.0793e+00
7.7000e-01 -3.0793e+00
7.8000e-01 -3.0793e+00
7.9000e-01 -3.0793e+00
8.0000e-01 -3.0793e+00
8.1000e-01 -3.0793e+00
8.2000e-01 -3.0793e+00
8.3000e-01 -3.0793e+00
8.4000e-01 -3.0793e+00
8.5000e-01 -3.0793e+00
8.6000e-01 -3.0792e+00
8.7000e-01 -3.0792e+00
8.8000e-01 -3.0792e+00
8.9000e-01 -3.0792e+00
9.0000e-01 -3.0792e+00
9.1000e-01 -3.0791e+00
9.2000e-01 -3.0791e+00
9.3000e-01 -3.0791e+00
9.4000e-01 -3.0790e+00
9.5000e-01 -3.0789e+00
9.6000e-01 -3.0788e+00
9.7000e-01 -3.0786e+00
9.8000e-01 -3.0782e+00
9.9000e-01 -3.0769e+00
